,X,Y,Elevation,Distance,tau,geometry
173,666049.65661,3597024.15221,3345.0051,9272.346314604045,2789443.0902661127,POINT (666049.6566099999 3597024.15221)
174,666079.65661,3597024.15221,3345.0103,9302.346314604045,2800496.237793186,POINT (666079.6566099999 3597024.15221)
175,666109.65661,3597024.15221,3345.0154,9332.346314604045,2811550.6452908544,POINT (666109.6566099999 3597024.15221)
176,666139.65661,3597024.15221,3347.0,9362.346314604045,2822607.6407110253,POINT (666139.6566099999 3597024.15221)
177,666259.65661,3597024.15221,3363.0,9507.19912834643,2876021.9091504505,POINT (666259.6566099999 3597024.15221)
178,666289.65661,3597024.15221,3369.0,9537.19912834643,2887090.7446676563,POINT (666289.6566099999 3597024.15221)
179,666319.65661,3597024.15221,3370.0,9567.19912834643,2898159.646834953,POINT (666319.6566099999 3597024.15221)
180,666349.65661,3597024.15221,3372.0,9597.19912834643,2909229.548931971,POINT (666349.6566099999 3597024.15221)
181,668179.65661,3597024.15221,3590.0,11887.859300126249,3890460.368897713,POINT (668179.6566099999 3597024.15221)
182,668209.65661,3597024.15221,3608.0,11917.859300126249,3909267.150459481,POINT (668209.6566099999 3597024.15221)
183,664489.65661,3596994.15221,3172.0,7306.538956566613,2109047.129960051,POINT (664489.6566099999 3596994.15221)
184,666169.65661,3596994.15221,3351.0,9404.772721475238,2838248.7264945046,POINT (666169.6566099999 3596994.15221)
185,666199.65661,3596994.15221,3355.0,9434.772721475238,2849309.043048187,POINT (666199.6566099999 3596994.15221)
186,666229.65661,3596994.15221,3356.0,9464.772721475238,2860369.625452151,POINT (666229.6566099999 3596994.15221)
187,666379.65661,3596994.15221,3372.0073,9639.625535217623,2925240.0249817017,POINT (666379.6566099999 3596994.15221)
188,666409.65661,3596994.15221,3372.0125,9669.625535217623,2936561.57589442,POINT (666409.6566099999 3596994.15221)
189,666439.65661,3596994.15221,3380.0,9699.625535217623,2947888.8564959485,POINT (666439.6566099999 3596994.15221)
190,666859.65661,3596994.15221,3428.0,10169.331162702394,3125906.2347114156,POINT (666859.6566099999 3596994.15221)
191,666889.65661,3596994.15221,3431.0,10199.331162702394,3137304.6801889683,POINT (666889.6566099999 3596994.15221)
192,666919.65661,3596994.15221,3440.0,10229.331162702394,3148703.645802311,POINT (666919.6566099999 3596994.15221)
